pred,prey
Coryphoblennius galerita,Coryphoblennius galerita
Leucaspius delineatus,Capoeta capoeta
Leucaspius delineatus,Leucaspius delineatus
Esox lucius,Rutilus rutilus
Esox lucius,Lepomis gibbosus
Esox lucius,Ambloplites rupestris
Esox lucius,Percina caprodes
Esox lucius,Platichthys flesus
Esox lucius,Neogobius melanostomus
Esox lucius,Abramis brama
Esox lucius,Pimephales promelas
Esox lucius,Coregonus artedi
Esox lucius,Carassius carassius
Esox lucius,Phoxinus phoxinus
Esox lucius,Squalius cephalus
Esox lucius,Gasterosteus aculeatus
Esox lucius,Perca flavescens
Esox lucius,Blicca bjoerkna
Esox lucius,Perca fluviatilis
Esox lucius,Salmo trutta
Esox lucius,Gymnocephalus cernua
Esox lucius,Coregonus sardinella
Esox lucius,Alburnus alburnus
Esox lucius,Oncorhynchus mykiss
Esox lucius,Salmo salar
Esox lucius,Scardinius erythrophthalmus
Esox lucius,Tinca tinca
Esox lucius,Sander lucioperca
Esox lucius,Catostomus catostomus
Esox lucius,Cottus bairdii
Esox lucius,Esox lucius
Esox lucius,Vimba vimba
Esox lucius,Notropis hudsonius
Esox lucius,Cyprinella spiloptera
Esox lucius,Cobitis calderoni
Esox lucius,Rutilus frisii
Esox lucius,Clupea harengus
Esox lucius,Gobio gobio
Esox lucius,Salaria fluviatilis
Esox lucius,Acipenser gueldenstaedtii
Esox lucius,Coregonus clupeaformis
Esox lucius,Coregonus albula
Esox lucius,Coregonus lavaretus
Esox lucius,Leuciscus leuciscus
Esox lucius,Thymallus thymallus
Esox lucius,Labidesthes sicculus
Esox lucius,Pimephales notatus
Esox lucius,Leuciscus idus
Esox lucius,Pomoxis annularis
Esox lucius,Barbatula barbatula
Esox lucius,Acipenser stellatus
Esox lucius,Lota lota
Esox lucius,Cottus gobio
Esox lucius,Lepomis macrochirus
Esox lucius,Sander vitreus
Esox lucius,Micropterus salmoides
Esox lucius,Dorosoma cepedianum
Esox lucius,Catostomus commersonii
Esox lucius,Salvelinus alpinus
Esox lucius,Osmerus eperlanus
Esox lucius,Anguilla anguilla
Esox lucius,Cyprinus carpio
Esox lucius,Silurus glanis
Barbus plebejus,Barbus caninus
Barbus plebejus,Sabanejewia larvata
Barbus plebejus,Alburnus arborella
Barbus plebejus,Chondrostoma soetta
Barbus plebejus,Salmo labrax
Barbus plebejus,Telestes muticellus
Barbus plebejus,Rutilus aula
Barbus plebejus,Acipenser naccarii
Barbus plebejus,Salmo marmoratus
Barbus plebejus,Alosa fallax
Barbus plebejus,Hypophthalmichthys molitrix
Barbus plebejus,Carassius carassius
Barbus plebejus,Cobitis bilineata
Barbus plebejus,Cobitis taenia
Barbus plebejus,Telestes souffia
Barbus plebejus,Padogobius bonelli
Barbus plebejus,Pseudorasbora parva
Barbus plebejus,Squalius cephalus
Barbus plebejus,Salvelinus namaycush
Barbus plebejus,Ctenopharyngodon idella
Barbus plebejus,Gasterosteus aculeatus
Barbus plebejus,Carassius auratus
Barbus plebejus,Rutilus pigus
Barbus plebejus,Parachondrostoma toxostoma
Cottus gobio,Neogobius melanostomus
Cottus gobio,Gasterosteus aculeatus
Cottus gobio,Pungitius pungitius
Cottus gobio,Cottus gobio
Galaxias fasciatus,Neochanna apoda
Channa marulius,Labeo rohita
Tenualosa ilisha,Tenualosa ilisha
Micropterus salmoides,Gambusia affinis
Micropterus salmoides,Pimephales promelas
Micropterus salmoides,Oncorhynchus tshawytscha
Micropterus salmoides,Poecilia reticulata
Micropterus salmoides,Phoxinus phoxinus
Micropterus salmoides,Carassius auratus
Micropterus salmoides,Lepomis miniatus
Micropterus salmoides,Lepomis macrochirus
Micropterus salmoides,Lepomis gibbosus
Micropterus salmoides,Hypomesus transpacificus
Micropterus salmoides,Anguilla anguilla
Micropterus salmoides,Rutilus rutilus
Micropterus salmoides,Cyprinella lutrensis
Micropterus salmoides,Hypomesus nipponensis
Micropterus salmoides,Tinca tinca
Micropterus salmoides,Rhinogobius giurinus
Micropterus salmoides,Mylocheilus caurinus
Micropterus salmoides,Gambusia holbrooki
Micropterus salmoides,Acrocheilus alutaceus
Micropterus salmoides,Pseudorasbora parva
Micropterus salmoides,Barbus paludinosus
Micropterus salmoides,Salaria fluviatilis
Micropterus salmoides,Syngnathus scovelli
Micropterus salmoides,Labidesthes sicculus
Micropterus salmoides,Pomoxis nigromaculatus
Micropterus salmoides,Pimephales notatus
Micropterus salmoides,Richardsonius balteatus
Micropterus salmoides,Dorosoma petenense
Micropterus salmoides,Oncorhynchus mykiss
Micropterus salmoides,Centrarchus macropterus
Micropterus salmoides,Lepomis cyanellus
Micropterus salmoides,Sander vitreus
Micropterus salmoides,Cyprinus carpio
Micropterus salmoides,Micropterus dolomieu
Micropterus salmoides,Dorosoma cepedianum
Micropterus salmoides,Notemigonus crysoleucas
Micropterus salmoides,Micropterus salmoides
Micropterus salmoides,Barbus caninus
Micropterus salmoides,Sabanejewia larvata
Micropterus salmoides,Alburnus arborella
Micropterus salmoides,Chondrostoma soetta
Micropterus salmoides,Salmo labrax
Micropterus salmoides,Telestes muticellus
Micropterus salmoides,Rutilus aula
Micropterus salmoides,Acipenser naccarii
Micropterus salmoides,Salmo marmoratus
Micropterus salmoides,Alosa fallax
Micropterus salmoides,Hypophthalmichthys molitrix
Micropterus salmoides,Carassius carassius
Micropterus salmoides,Cobitis bilineata
Micropterus salmoides,Cobitis taenia
Micropterus salmoides,Telestes souffia
Micropterus salmoides,Padogobius bonelli
Micropterus salmoides,Squalius cephalus
Micropterus salmoides,Salvelinus namaycush
Micropterus salmoides,Ctenopharyngodon idella
Micropterus salmoides,Gasterosteus aculeatus
Astyanax bimaculatus,Poecilia reticulata
Salvelinus alpinus,Coregonus albula
Salvelinus alpinus,Pungitius pungitius
Salvelinus alpinus,Salvelinus alpinus
Salvelinus alpinus,Gasterosteus aculeatus
Salvelinus alpinus,Cottus aleuticus
Salvelinus alpinus,Oncorhynchus nerka
Salvelinus alpinus,Chanos chanos
Salvelinus alpinus,Oncorhynchus kisutch
Salvelinus alpinus,Osmerus eperlanus
Salvelinus alpinus,Perca fluviatilis
Zoarces viviparus,Osmerus eperlanus
Zoarces viviparus,Clupea harengus
Zoarces viviparus,Zoarces viviparus
Kajikia albida,Euthynnus alletteratus
Kajikia albida,Scomber scombrus
Kajikia albida,Scomber japonicus
Kajikia albida,Auxis thazard
Kajikia albida,Auxis rochei
Cyprinus carpio,Pseudorasbora parva
Cyprinus carpio,Culaea inconstans
Makaira nigricans,Thunnus thynnus
Makaira nigricans,Thunnus albacares
Makaira nigricans,Katsuwonus pelamis
Makaira nigricans,Euthynnus alletteratus
Makaira nigricans,Scomber japonicus
Makaira nigricans,Xiphias gladius
Makaira nigricans,Lagocephalus lagocephalus
Makaira nigricans,Auxis thazard
Makaira nigricans,Thunnus obesus
Makaira nigricans,Auxis rochei
Makaira nigricans,Thunnus atlanticus
Salvelinus namaycush,Alosa pseudoharengus
Salvelinus namaycush,Neogobius melanostomus
Salvelinus namaycush,Oncorhynchus nerka
Salvelinus namaycush,Osmerus mordax
Salvelinus namaycush,Catostomus catostomus
Salvelinus namaycush,Coregonus clupeaformis
Salvelinus namaycush,Coregonus artedi
Salvelinus namaycush,Salvelinus namaycush
Salvelinus namaycush,Myoxocephalus thompsonii
Salvelinus namaycush,Chrosomus eos
Salvelinus namaycush,Catostomus commersonii
Salvelinus namaycush,Luxilus cornutus
Salvelinus namaycush,Pimephales notatus
Salvelinus namaycush,Notemigonus crysoleucas
Salvelinus namaycush,Semotilus atromaculatus
Salvelinus namaycush,Lepomis gibbosus
Salvelinus namaycush,Perca flavescens
Salvelinus namaycush,Micropterus salmoides
Salvelinus namaycush,Micropterus dolomieu
Salvelinus namaycush,Ameiurus nebulosus
Salvelinus namaycush,Salvelinus fontinalis
Salvelinus namaycush,Osmerus eperlanus
Salvelinus namaycush,Percopsis omiscomaycus
Salvelinus namaycush,Myoxocephalus quadricornis
Salvelinus namaycush,Cottus ricei
Salvelinus namaycush,Coregonus albula
Salvelinus namaycush,Cottus cognatus
Salvelinus namaycush,Pungitius pungitius
Salvelinus namaycush,Notropis atherinoides
Salvelinus namaycush,Barbus caninus
Salvelinus namaycush,Sabanejewia larvata
Salvelinus namaycush,Alburnus arborella
Salvelinus namaycush,Notropis hudsonius
Salvelinus namaycush,Chondrostoma soetta
Salvelinus namaycush,Salmo labrax
Salvelinus namaycush,Telestes muticellus
Salvelinus namaycush,Rutilus aula
Salvelinus namaycush,Acipenser naccarii
Salvelinus namaycush,Salmo marmoratus
Salvelinus namaycush,Alosa fallax
Salvelinus namaycush,Hypophthalmichthys molitrix
Salvelinus namaycush,Carassius carassius
Salvelinus namaycush,Cobitis bilineata
Salvelinus namaycush,Cobitis taenia
Salvelinus namaycush,Telestes souffia
Salvelinus namaycush,Padogobius bonelli
Salvelinus namaycush,Pseudorasbora parva
Salvelinus namaycush,Squalius cephalus
Salvelinus namaycush,Barbatula barbatula
Salvelinus namaycush,Leucaspius delineatus
Salvelinus namaycush,Salaria fluviatilis
Lutjanus apodus,Sparisoma radians
Lutjanus apodus,Sparisoma chrysopterum
Lutjanus apodus,Scarus taeniopterus
Lutjanus apodus,Scarus coelestinus
Lutjanus apodus,Hypoplectrus aberrans
Lutjanus apodus,Hypoplectrus nigricans
Lutjanus apodus,Bodianus rufus
Lutjanus apodus,Chromis cyanea
Lutjanus apodus,Sparisoma rubripinne
Lutjanus apodus,Clepticus parrae
Lutjanus apodus,Haemulon flavolineatum
Lutjanus apodus,Sparisoma viride
Thalassoma bifasciatum,Abudefduf saxatilis
Sander lucioperca,Rhodeus amarus
Sander lucioperca,Leucaspius delineatus
Sander lucioperca,Alburnus alburnus
Sander lucioperca,Pomatoschistus minutus
Sander lucioperca,Carassius carassius
Sander lucioperca,Blicca bjoerkna
Sander lucioperca,Neogobius fluviatilis
Sander lucioperca,Pelecus cultratus
Sander lucioperca,Tinca tinca
Sander lucioperca,Coregonus albula
Sander lucioperca,Coregonus lavaretus
Sander lucioperca,Gymnocephalus cernua
Sander lucioperca,Rutilus rutilus
Sander lucioperca,Abramis brama
Sander lucioperca,Platichthys flesus
Sander lucioperca,Anguilla anguilla
Sander lucioperca,Clupea harengus
Sander lucioperca,Gasterosteus aculeatus
Sander lucioperca,Osmerus eperlanus
Sander lucioperca,Perca fluviatilis
Sander lucioperca,Sander lucioperca
Sander lucioperca,Barbus caninus
Sander lucioperca,Sabanejewia larvata
Sander lucioperca,Alburnus arborella
Sander lucioperca,Neogobius pallasi
Sander lucioperca,Syngnathus abaster
Sander lucioperca,Atherina boyeri
Sander lucioperca,Chondrostoma soetta
Sander lucioperca,Salmo labrax
Sander lucioperca,Telestes muticellus
Sander lucioperca,Rutilus aula
Sander lucioperca,Acipenser naccarii
Sander lucioperca,Salmo marmoratus
Sander lucioperca,Alosa fallax
Sander lucioperca,Hypophthalmichthys molitrix
Sander lucioperca,Cobitis bilineata
Sander lucioperca,Cobitis taenia
Sander lucioperca,Telestes souffia
Sander lucioperca,Padogobius bonelli
Sander lucioperca,Pseudorasbora parva
Sander lucioperca,Squalius cephalus
Sander lucioperca,Salvelinus namaycush
Sander lucioperca,Ctenopharyngodon idella
Sander lucioperca,Carassius auratus
Sander lucioperca,Rutilus pigus
Sander lucioperca,Parachondrostoma toxostoma
Sander lucioperca,Ponticola kessleri
Sander lucioperca,Hypophthalmichthys nobilis
Sander lucioperca,Salaria fluviatilis
Sander lucioperca,Phoxinus phoxinus
Sander lucioperca,Gobio gobio
Sander lucioperca,Chondrostoma nasus
Sander lucioperca,Leuciscus leuciscus
Sander lucioperca,Barbus barbus
Sander lucioperca,Thymallus thymallus
Sander lucioperca,Scardinius erythrophthalmus
Sander lucioperca,Acipenser sturio
Sander lucioperca,Barbus plebejus
Sander lucioperca,Barbatula barbatula
Sander lucioperca,Lepomis gibbosus
Sander lucioperca,Salmo salar
Sander lucioperca,Cottus gobio
Sander lucioperca,Silurus glanis
Sander lucioperca,Lota lota
Sander lucioperca,Cyprinus carpio
Sander lucioperca,Micropterus salmoides
Sander lucioperca,Salmo trutta
Sander lucioperca,Oncorhynchus mykiss
Sander lucioperca,Esox lucius
Sander lucioperca,Salvelinus fontinalis
Sander lucioperca,Neogobius melanostomus
Thunnus thynnus,Salmo salar
Thunnus thynnus,Pseudopleuronectes americanus
Thunnus thynnus,Scomber scombrus
Thunnus thynnus,Gadus morhua
Thunnus thynnus,Clupea harengus
Thunnus thynnus,Engraulis mordax
Thunnus thynnus,Scomber japonicus
Umbra limi,Chrosomus eos
Umbra limi,Chrosomus neogaeus
Umbra limi,Umbra limi
Ameiurus nebulosus,Salvelinus namaycush
Acanthogobius flavimanus,Leptocottus armatus
Acanthogobius flavimanus,Gillichthys mirabilis
Gasterosteus aculeatus,Pleuronectes platessa
Gasterosteus aculeatus,Clupea pallasii
Thaleichthys pacificus,Thaleichthys pacificus
Morone mississippiensis,Poecilia latipinna
Morone mississippiensis,Cyprinodon variegatus
Trematomus hansoni,Notothenia rossii
Trematomus hansoni,Trematomus pennellii
Trematomus hansoni,Notothenia coriiceps
Trematomus hansoni,Trematomus bernacchii
Trematomus hansoni,Trematomus hansoni
Perca flavescens,Notropis hudsonius
Perca flavescens,Pimephales promelas
Perca flavescens,Catostomus commersonii
Perca flavescens,Notropis atherinoides
Perca flavescens,Neogobius melanostomus
Perca flavescens,Osmerus mordax
Perca flavescens,Esox lucius
Perca flavescens,Perca flavescens
Pelecus cultratus,Clupea harengus
Pelecus cultratus,Osmerus eperlanus
Pelecus cultratus,Sander lucioperca
Barbatula barbatula,Cottus gobio
Clarias gariepinus,Oreochromis niloticus
Clarias gariepinus,Chanos chanos
Clarias gariepinus,Clarias gariepinus
Clarias gariepinus,Serranochromis robustus
Clarias gariepinus,Oreochromis mossambicus
Barbus lacerta,Salvelinus alpinus
Ictalurus punctatus,Anchoa mitchilli
Ictalurus punctatus,Dorosoma cepedianum
Ictalurus punctatus,Heterandria formosa
Ictalurus punctatus,Pomoxis annularis
Ictalurus punctatus,Sander vitreus
Ictalurus punctatus,Morone chrysops
Ictalurus punctatus,Lepomis macrochirus
Ictalurus punctatus,Gila cypha
Ictalurus punctatus,Oncorhynchus kisutch
Ictalurus punctatus,Oncorhynchus mykiss
Ictalurus punctatus,Oncorhynchus tshawytscha
Ictalurus punctatus,Oncorhynchus nerka
Ictalurus punctatus,Pimephales promelas
Ictalurus punctatus,Rhinichthys osculus
Ictalurus punctatus,Xyrauchen texanus
Ictalurus punctatus,Cyprinus carpio
Istiompax indica,Thunnus obesus
Istiompax indica,Thunnus albacares
Istiompax indica,Katsuwonus pelamis
Istiompax indica,Auxis rochei
Istiompax indica,Xiphias gladius
Istiompax indica,Auxis thazard
Paralabrax clathratus,Oxyjulis californica
Paralabrax clathratus,Halichoeres semicinctus
Paralabrax clathratus,Chromis punctipinnis
Paralabrax clathratus,Paralabrax nebulifer
Paralabrax clathratus,Cymatogaster aggregata
Paralabrax clathratus,Paralabrax clathratus
Ameiurus natalis,Ameiurus natalis
Gymnarchus niloticus,Schilbe intermedius
Chanodichthys erythropterus,Chanodichthys mongolicus
Chanodichthys erythropterus,Hypomesus olidus
Chanodichthys erythropterus,Hemiculter leucisculus
Chanodichthys erythropterus,Carassius auratus
Chanodichthys erythropterus,Pseudorasbora parva
Megalops cyprinoides,Chanos chanos
Megalops cyprinoides,Oreochromis mossambicus
Micropterus floridanus,Neogobius melanostomus
Semotilus atromaculatus,Etheostoma nigrum
Semotilus atromaculatus,Hybognathus hankinsoni
Chondrostoma nasus,Salmo trutta
Bodianus rufus,Abudefduf saxatilis
Sarda australis,Sardinops sagax
Solea solea,Pomatoschistus minutus
Solea solea,Pleuronectes platessa
Monopterus albus,Poecilia reticulata
Pimephales notatus,Etheostoma crossopterum
Katsuwonus pelamis,Auxis thazard
Katsuwonus pelamis,Katsuwonus pelamis
Katsuwonus pelamis,Auxis rochei
Pomoxis nigromaculatus,Alosa sapidissima
Pomoxis nigromaculatus,Dorosoma petenense
Pomoxis nigromaculatus,Morone saxatilis
Pomoxis nigromaculatus,Dorosoma cepedianum
Pomoxis nigromaculatus,Gymnocephalus cernua
Astyanax mexicanus,Astyanax mexicanus
Perissodus microlepis,Limnotilapia dardennii
Perissodus microlepis,Neolamprologus modestus
Perissodus microlepis,Tropheus moorii
Perissodus microlepis,Haplotaxodon microlepis
Perissodus microlepis,Cyathopharynx furcifer
Perissodus microlepis,Lepidiolamprologus attenuatus
Perissodus microlepis,Eretmodus cyanostictus
Perissodus microlepis,Lepidiolamprologus elongatus
Perissodus microlepis,Neolamprologus brichardi
Perissodus microlepis,Lamprologus callipterus
Perissodus microlepis,Neolamprologus leleupi
Perissodus microlepis,Altolamprologus compressiceps
Perissodus microlepis,Lobochilotes labiatus
Perissodus microlepis,Xenotilapia leptura
Perissodus microlepis,Telmatochromis temporalis
Perissodus microlepis,Neolamprologus toae
Perissodus microlepis,Gnathochromis pfefferi
Labidesthes sicculus,Labidesthes sicculus
Aplodinotus grunniens,Percopsis omiscomaycus
Silurus asotus,Hypomesus olidus
Silurus asotus,Carassius auratus
Silurus asotus,Silurus asotus
Silurus asotus,Ctenopharyngodon idella
Salvelinus leucomaenis,Osmerus dentex
Salvelinus leucomaenis,Oncorhynchus gorbuscha
Tetrapturus angustirostris,Katsuwonus pelamis
Tetrapturus angustirostris,Xiphias gladius
Scomberomorus regalis,Lachnolaimus maximus
Scomberomorus regalis,Xyrichtys splendens
Scomberomorus regalis,Xyrichtys novacula
Scomberomorus regalis,Halichoeres radiatus
Scomberomorus regalis,Bodianus rufus
Scomberomorus regalis,Halichoeres poeyi
Scomberomorus regalis,Halichoeres garnoti
Scomberomorus regalis,Thalassoma bifasciatum
Scomberomorus regalis,Halichoeres maculipinna
Scomberomorus regalis,Chromis cyanea
Scomberomorus regalis,Halichoeres bivittatus
Scomberomorus regalis,Clepticus parrae
Scomberomorus regalis,Abudefduf saxatilis
Etroplus maculatus,Etroplus suratensis
Engraulis mordax,Engraulis mordax
Sciaenops ocellatus,Heterandria formosa
Sciaenops ocellatus,Gambusia affinis
Sciaenops ocellatus,Lagodon rhomboides
Sciaenops ocellatus,Fundulus grandis
Sciaenops ocellatus,Cyprinodon variegatus
Sciaenops ocellatus,Anchoa mitchilli
Sciaenops ocellatus,Leiostomus xanthurus
Sciaenops ocellatus,Lucania parva
Sciaenops ocellatus,Cynoscion nebulosus
Sciaenops ocellatus,Paralichthys lethostigma
Sciaenops ocellatus,Dorosoma cepedianum
Sciaenops ocellatus,Strongylura marina
Sciaenops ocellatus,Sciaenops ocellatus
Silurus meridionalis,Parabramis pekinensis
Ptychocheilus grandis,Rhinichthys osculus
Ptychocheilus grandis,Oncorhynchus mykiss
Ptychocheilus grandis,Hesperoleucus symmetricus
Ptychocheilus grandis,Ptychocheilus grandis
Schilbe intermedius,Marcusenius macrolepidotus
Schilbe intermedius,Brycinus lateralis
Schilbe intermedius,Sierrathrissa leonensis
Schilbe intermedius,Synodontis macrostigma
Schilbe intermedius,Schilbe mystus
Schilbe intermedius,Schilbe intermedius
Pterois volitans,Gambusia holbrooki
Pterois volitans,Stegastes variabilis
Pterois volitans,Thalassoma bifasciatum
Pterois volitans,Halichoeres garnoti
Pterois volitans,Clepticus parrae
Acipenser nudiventris,Neogobius fluviatilis
Oncorhynchus kisutch,Oncorhynchus gorbuscha
Oncorhynchus kisutch,Oncorhynchus keta
Oncorhynchus kisutch,Oncorhynchus nerka
Oncorhynchus kisutch,Alosa pseudoharengus
Oncorhynchus kisutch,Clupea harengus
Oncorhynchus kisutch,Cottus aleuticus
Oncorhynchus kisutch,Notropis hudsonius
Oncorhynchus kisutch,Oncorhynchus clarkii
Oncorhynchus kisutch,Engraulis mordax
Oncorhynchus kisutch,Clupea pallasii
Oncorhynchus kisutch,Gasterosteus aculeatus
Oncorhynchus kisutch,Lepidopsetta bilineata
Oncorhynchus kisutch,Sardinops sagax
Oncorhynchus kisutch,Cymatogaster aggregata
Oncorhynchus kisutch,Oncorhynchus tshawytscha
Oncorhynchus kisutch,Perca flavescens
Oncorhynchus kisutch,Osmerus mordax
Oncorhynchus kisutch,Alosa sapidissima
Oncorhynchus kisutch,Dorosoma cepedianum
Oncorhynchus kisutch,Notropis atherinoides
Belonesox belizanus,Gambusia holbrooki
Acanthocybium solandri,Thunnus atlanticus
Acanthocybium solandri,Katsuwonus pelamis
Acanthocybium solandri,Sarda sarda
Acanthocybium solandri,Auxis thazard
Acanthocybium solandri,Scomberomorus regalis
Acanthocybium solandri,Euthynnus alletteratus
Acanthocybium solandri,Thunnus thynnus
Acanthocybium solandri,Auxis rochei
Clarias batrachus,Pseudocrenilabrus multicolor
Esox niger,Perca flavescens
Esox niger,Ameiurus nebulosus
Thymallus arcticus,Oncorhynchus keta
Osmerus mordax,Alosa pseudoharengus
Osmerus mordax,Coregonus artedi
Osmerus dentex,Oncorhynchus gorbuscha
Clarias stappersii,Clarias theodorae
Clarias anguillaris,Hemichromis bimaculatus
Clarias anguillaris,Clarias anguillaris
Scorpaena porcus,Symphodus tinca
Scorpaena porcus,Parablennius tentacularis
Scorpaena porcus,Salaria pavo
Scorpaena porcus,Symphodus roissali
Scorpaena porcus,Mullus surmuletus
Thunnus obesus,Auxis thazard
Thunnus obesus,Katsuwonus pelamis
Thunnus obesus,Sardinops sagax
Thunnus obesus,Scomber japonicus
Thunnus obesus,Thunnus albacares
Thunnus obesus,Xiphias gladius
Thunnus obesus,Thunnus alalunga
Thunnus obesus,Auxis rochei
Thunnus atlanticus,Thunnus atlanticus
Gymnocephalus cernua,Pomatoschistus microps
Gymnocephalus cernua,Coregonus albula
Gymnocephalus cernua,Osmerus eperlanus
Gymnocephalus cernua,Perca flavescens
Gymnocephalus cernua,Sander vitreus
Pylodictis olivaris,Percina phoxocephala
Pylodictis olivaris,Notropis buchanani
Pylodictis olivaris,Carpiodes carpio
Pylodictis olivaris,Noturus nocturnus
Pylodictis olivaris,Ictalurus punctatus
Pylodictis olivaris,Xyrauchen texanus
Pylodictis olivaris,Cyprinella lutrensis
Pylodictis olivaris,Semotilus atromaculatus
Pylodictis olivaris,Lepomis megalotis
Pylodictis olivaris,Aplodinotus grunniens
Pylodictis olivaris,Noturus flavus
Pylodictis olivaris,Pylodictis olivaris
Lipophrys pholis,Gobius paganellus
Lipophrys pholis,Coryphoblennius galerita
Lipophrys pholis,Lipophrys pholis
Lagodon rhomboides,Lucania parva
Lagodon rhomboides,Anchoa mitchilli
Lagodon rhomboides,Lagodon rhomboides
Ictalurus furcatus,Anchoa mitchilli
Ictalurus furcatus,Alosa sapidissima
Ictalurus furcatus,Anguilla rostrata
Ictalurus furcatus,Alosa aestivalis
Ictalurus furcatus,Alosa pseudoharengus
Ictalurus furcatus,Acipenser oxyrinchus
Coregonus albula,Coregonus albula
Lepidiolamprologus elongatus,Neolamprologus pulcher
Lepidiolamprologus elongatus,Julidochromis marlieri
Lates calcarifer,Scomberomorus commerson
Lates calcarifer,Chanos chanos
Lates calcarifer,Craterocephalus stercusmuscarum
Lates calcarifer,Melanotaenia splendida
Lates calcarifer,Cyprinus carpio
Lates calcarifer,Lates calcarifer
Coregonus clupeaformis,Perca flavescens
Coregonus clupeaformis,Oncorhynchus nerka
Coregonus clupeaformis,Catostomus catostomus
Coregonus clupeaformis,Neogobius melanostomus
Coregonus clupeaformis,Catostomus commersonii
Coregonus clupeaformis,Cottus asper
Alosa alosa,Clupea harengus
Ptychocheilus oregonensis,Oncorhynchus tshawytscha
Thunnus maccoyii,Thunnus alalunga
Oblada melanura,Oblada melanura
Butis butis,Chanos chanos
Elopichthys bambusa,Ctenopharyngodon idella
Hypsypops rubicundus,Hypsypops rubicundus
Lepidiolamprologus profundicola,Julidochromis marlieri
Plecodus straeleni,Xenotilapia flavipinnis
Plecodus straeleni,Mastacembelus moorii
Plecodus straeleni,Lepidiolamprologus elongatus
Plecodus straeleni,Petrochromis orthognathus
Plecodus straeleni,Neolamprologus toae
Plecodus straeleni,Cyprichromis microlepidotus
Plecodus straeleni,Petrochromis trewavasae
Plecodus straeleni,Ctenochromis horei
Plecodus straeleni,Ophthalmotilapia ventralis
Plecodus straeleni,Perissodus microlepis
Plecodus straeleni,Lamprologus callipterus
