predator,prey
Perca fluviatilis,Ischnura pumilio
Perca fluviatilis,Carassius carassius
Perca fluviatilis,Ephemera danica
Perca fluviatilis,Pseudorasbora parva
Perca fluviatilis,Squalius cephalus
Perca fluviatilis,Carassius gibelio
Perca fluviatilis,Salvelinus namaycush
Perca fluviatilis,Ctenopharyngodon idella
Perca fluviatilis,Coenagrion puella
Perca fluviatilis,Calopteryx virgo
Perca fluviatilis,Ischnura elegans
Perca fluviatilis,Carassius auratus
Perca fluviatilis,Gasterosteus aculeatus
Perca fluviatilis,Caenis luctuosa
Perca fluviatilis,Agabus didymus
Perca fluviatilis,Agapetus fuscipes
Perca fluviatilis,Leuctra fusca
Perca fluviatilis,Dinocras cephalotes
Perca fluviatilis,Rhyacophila dorsalis
Perca fluviatilis,Deronectes aubei
Perca fluviatilis,Echinogammarus ischnus
Perca fluviatilis,Aphelocheirus aestivalis
Perca fluviatilis,Saduria entomon
Perca fluviatilis,Dikerogammarus villosus
Perca fluviatilis,Nemurella pictetii
Atractosteus spatula,Oreochromis niloticus
Atractosteus spatula,Atractosteus spatula
Atractosteus spatula,Lagodon rhomboides
Atractosteus spatula,Mugil cephalus
Salvelinus alpinus,Boreogadus saida
Salvelinus alpinus,Pungitius pungitius
Salvelinus alpinus,Gammarus lacustris
Salvelinus alpinus,Salvelinus alpinus
Salvelinus alpinus,Gasterosteus aculeatus
Salvelinus alpinus,Chironomus thummi
Salvelinus alpinus,Oncorhynchus nerka
Salvelinus alpinus,Chanos chanos
Salvelinus alpinus,Oncorhynchus kisutch
Carassius carassius,Daphnia magna
Carassius auratus,Gammarus fossarum
Acipenser baerii,Saduria entomon
Oncorhynchus kisutch,Carcinus maenas
Oncorhynchus kisutch,Oncorhynchus gorbuscha
Oncorhynchus kisutch,Oncorhynchus keta
Oncorhynchus kisutch,Boreogadus saida
Oncorhynchus kisutch,Oncorhynchus nerka
Oncorhynchus kisutch,Alosa pseudoharengus
Oncorhynchus kisutch,Oncorhynchus clarkii
Oncorhynchus kisutch,Gasterosteus aculeatus
Oncorhynchus kisutch,Clupea pallasii
Oncorhynchus kisutch,Oncorhynchus tshawytscha
Oncorhynchus kisutch,Alosa sapidissima
Oncorhynchus kisutch,Osmerus mordax
Oncorhynchus kisutch,Dorosoma cepedianum
Oncorhynchus kisutch,Notropis atherinoides
Zoarces viviparus,Marinogammarus marinus
Zoarces viviparus,Saduria entomon
Zoarces viviparus,Crangon crangon
Zoarces viviparus,Corophium volutator
Zoarces viviparus,Carcinus maenas
Zoarces viviparus,Potamopyrgus antipodarum
Zoarces viviparus,Zoarces viviparus
Notropis atherinoides,Chironomus thummi
Rutilus rutilus,Chironomus thummi
Rutilus rutilus,Elmis aenea
Rutilus rutilus,Rhyacophila dorsalis
Rutilus rutilus,Sigara lateralis
Rutilus rutilus,Limnius volckmari
Rutilus rutilus,Asellus aquaticus
Rutilus rutilus,Hydropsyche pellucidula
Rutilus rutilus,Dreissena polymorpha
Rutilus rutilus,Agabus brunneus
Rutilus rutilus,Deronectes moestus
Rutilus rutilus,Deronectes opatrinus
Rutilus rutilus,Deronectes latus
Rutilus rutilus,Hydroporus memnonius
Rutilus rutilus,Hydroporus sabaudus
Rutilus rutilus,Ecdyonurus insignis
Rutilus rutilus,Gammarus tigrinus
Rutilus rutilus,Serratella ignita
Rutilus rutilus,Ischnura pumilio
Rutilus rutilus,Ephemera danica
Rutilus rutilus,Coenagrion puella
Rutilus rutilus,Calopteryx virgo
Rutilus rutilus,Ischnura elegans
Rutilus rutilus,Caenis luctuosa
Rutilus rutilus,Agabus didymus
Rutilus rutilus,Agapetus fuscipes
Rutilus rutilus,Leuctra fusca
Rutilus rutilus,Dinocras cephalotes
Rutilus rutilus,Deronectes aubei
Rutilus rutilus,Echinogammarus ischnus
Rutilus rutilus,Aphelocheirus aestivalis
Rutilus rutilus,Dikerogammarus villosus
Rutilus rutilus,Nemurella pictetii
Rutilus rutilus,Echinogammarus berilloni
Rutilus rutilus,Astacus astacus
Rutilus rutilus,Ecdyonurus venosus
Rutilus rutilus,Agabus bipustulatus
Rutilus rutilus,Baetis vernus
Rutilus rutilus,Baetis rhodani
Belonesox belizanus,Gambusia holbrooki
Alburnus alburnus,Ecdyonurus insignis
Alburnus alburnus,Serratella ignita
Alburnus alburnus,Ephemera danica
Alburnus alburnus,Caenis luctuosa
Alburnus alburnus,Agapetus fuscipes
Alburnus alburnus,Leuctra fusca
Alburnus alburnus,Dinocras cephalotes
Alburnus alburnus,Rhyacophila dorsalis
Alburnus alburnus,Nemurella pictetii
Alburnus alburnus,Ecdyonurus venosus
Alburnus alburnus,Baetis rhodani
Alburnus alburnus,Baetis vernus
Alburnus alburnus,Rhithrogena semicolorata
Alburnus alburnus,Drusus annulatus
Alburnus alburnus,Cloeon dipterum
Alburnus alburnus,Hydropsyche pellucidula
Alburnus alburnus,Heptagenia sulphurea
Luxilus cornutus,Daphnia galeata
Luxilus cornutus,Gammarus fasciatus
Luxilus cornutus,Hyalella azteca
Luxilus cornutus,Gammarus tigrinus
Prosopium williamsoni,Prosopium williamsoni
Prosopium williamsoni,Oncorhynchus kisutch
Cyprinus carpio,Agabus brunneus
Cyprinus carpio,Deronectes opatrinus
Cyprinus carpio,Deronectes moestus
Cyprinus carpio,Deronectes latus
Cyprinus carpio,Hydroporus memnonius
Cyprinus carpio,Hydroporus sabaudus
Cyprinus carpio,Chironomus longistylus
Cyprinus carpio,Psectrotanypus varius
Cyprinus carpio,Pseudodiamesa branickii
Cyprinus carpio,Ecdyonurus insignis
Cyprinus carpio,Gammarus tigrinus
Cyprinus carpio,Serratella ignita
Oncorhynchus tshawytscha,Potamopyrgus antipodarum
Oncorhynchus tshawytscha,Oncorhynchus kisutch
Oncorhynchus tshawytscha,Oncorhynchus mykiss
Oncorhynchus tshawytscha,Oncorhynchus keta
Oncorhynchus tshawytscha,Osmerus mordax
Oncorhynchus tshawytscha,Alosa pseudoharengus
Oncorhynchus tshawytscha,Clupea pallasii
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
Bathygobius soporator,Bathygobius soporator
Bathygobius fuscus,Bathygobius fuscus
Acipenser transmontanus,Palaemon macrodactylus
Acipenser transmontanus,Corbicula fluminea
Acipenser transmontanus,Alosa sapidissima
Carassius gibelio,Agabus brunneus
Carassius gibelio,Deronectes opatrinus
Carassius gibelio,Deronectes moestus
Carassius gibelio,Deronectes latus
Carassius gibelio,Hydroporus memnonius
Carassius gibelio,Hydroporus sabaudus
Carassius gibelio,Chironomus longistylus
Carassius gibelio,Psectrotanypus varius
Carassius gibelio,Pseudodiamesa branickii
Carassius gibelio,Ecdyonurus insignis
Carassius gibelio,Gammarus tigrinus
Carassius gibelio,Serratella ignita
Carassius gibelio,Ischnura pumilio
Carassius gibelio,Ephemera danica
Carassius gibelio,Aquarius paludum
Cottus cognatus,Oncorhynchus mykiss
Leuciscus idus,Daphnia pulicaria
Leuciscus idus,Alburnus alburnus
Leuciscus idus,Rutilus rutilus
Pimephales promelas,Xyrauchen texanus
Myoxocephalus quadricornis,Saduria entomon
Myoxocephalus quadricornis,Corophium volutator
Myoxocephalus quadricornis,Zoarces viviparus
Myoxocephalus quadricornis,Gymnocephalus cernua
Myoxocephalus quadricornis,Gasterosteus aculeatus
Myoxocephalus quadricornis,Myoxocephalus quadricornis
Salvelinus namaycush,Alosa pseudoharengus
Salvelinus namaycush,Neogobius melanostomus
Salvelinus namaycush,Oncorhynchus nerka
Salvelinus namaycush,Osmerus mordax
Salvelinus namaycush,Salvelinus confluentus
Salvelinus namaycush,Coregonus clupeaformis
Salvelinus namaycush,Coregonus artedi
Salvelinus namaycush,Salvelinus namaycush
Salvelinus namaycush,Catostomus commersonii
Salvelinus namaycush,Luxilus cornutus
Salvelinus namaycush,Pimephales notatus
Salvelinus namaycush,Salvelinus fontinalis
Salvelinus namaycush,Semotilus atromaculatus
Salvelinus namaycush,Notemigonus crysoleucas
Salvelinus namaycush,Micropterus salmoides
Salvelinus namaycush,Micropterus dolomieu
Salvelinus namaycush,Lepomis gibbosus
Salvelinus namaycush,Ameiurus nebulosus
Salvelinus namaycush,Myoxocephalus quadricornis
Salvelinus namaycush,Pungitius pungitius
Salvelinus namaycush,Cottus cognatus
Salvelinus namaycush,Notropis atherinoides
Salvelinus namaycush,Agabus brunneus
Salvelinus namaycush,Deronectes opatrinus
Salvelinus namaycush,Deronectes latus
Salvelinus namaycush,Deronectes moestus
Salvelinus namaycush,Hydroporus memnonius
Salvelinus namaycush,Hydroporus sabaudus
Salvelinus namaycush,Ecdyonurus insignis
Salvelinus namaycush,Gammarus tigrinus
Salvelinus namaycush,Serratella ignita
Salvelinus namaycush,Ischnura pumilio
Salvelinus namaycush,Carassius carassius
Salvelinus namaycush,Ephemera danica
Salvelinus namaycush,Pseudorasbora parva
Salvelinus namaycush,Squalius cephalus
Salvelinus namaycush,Carassius gibelio
Ictalurus punctatus,Lepomis macrochirus
Ictalurus punctatus,Dorosoma cepedianum
Ictalurus punctatus,Heterandria formosa
Ictalurus punctatus,Hyalella azteca
Ictalurus punctatus,Gammarus tigrinus
Ictalurus punctatus,Sander vitreus
Ictalurus punctatus,Morone chrysops
Ictalurus punctatus,Oncorhynchus nerka
Ictalurus punctatus,Oncorhynchus mykiss
Ictalurus punctatus,Corbicula fluminea
Ictalurus punctatus,Oncorhynchus tshawytscha
Ictalurus punctatus,Oncorhynchus kisutch
Ictalurus punctatus,Catostomus discobolus
Ictalurus punctatus,Catostomus latipinnis
Ictalurus punctatus,Pimephales promelas
Ictalurus punctatus,Rhinichthys osculus
Ictalurus punctatus,Cyprinus carpio
Ictalurus punctatus,Xyrauchen texanus
Menidia beryllina,Gammarus tigrinus
Menidia beryllina,Menidia beryllina
Menidia beryllina,Gammarus fasciatus
Menidia beryllina,Hyalella azteca
Lota lota,Lota lota
Lota lota,Thymallus arcticus
Lota lota,Gammarus pulex
Lota lota,Gammarus roeselii
Lota lota,Dikerogammarus villosus
Lota lota,Chironomus thummi
Lota lota,Cottus cognatus
Lota lota,Gobio gobio
Lota lota,Boreogadus saida
Lota lota,Salvelinus alpinus
Lota lota,Oncorhynchus nerka
Lota lota,Gymnocephalus cernua
Lota lota,Etheostoma caeruleum
Lota lota,Aplodinotus grunniens
Lota lota,Osmerus mordax
Lota lota,Alosa pseudoharengus
Lota lota,Morone chrysops
Lota lota,Sander vitreus
Lota lota,Agabus brunneus
Lota lota,Deronectes opatrinus
Lota lota,Deronectes latus
Lota lota,Deronectes moestus
Lota lota,Hydroporus memnonius
Lota lota,Hydroporus sabaudus
Lota lota,Ecdyonurus insignis
Lota lota,Leucaspius delineatus
Lota lota,Alburnus alburnus
Lota lota,Gammarus tigrinus
Lota lota,Zoarces viviparus
Lota lota,Serratella ignita
Lota lota,Ischnura pumilio
Lota lota,Carassius carassius
Lota lota,Ephemera danica
Lota lota,Pseudorasbora parva
Lota lota,Squalius cephalus
Lota lota,Carassius gibelio
Lota lota,Salvelinus namaycush
Lota lota,Ctenopharyngodon idella
Lota lota,Coenagrion puella
Lota lota,Calopteryx virgo
Lota lota,Ischnura elegans
Lota lota,Carassius auratus
Lota lota,Gasterosteus aculeatus
Lota lota,Caenis luctuosa
Lota lota,Agabus didymus
Lota lota,Agapetus fuscipes
Lota lota,Leuctra fusca
Lota lota,Dinocras cephalotes
Lota lota,Rhyacophila dorsalis
Lota lota,Deronectes aubei
Lota lota,Echinogammarus ischnus
Lota lota,Aphelocheirus aestivalis
Lota lota,Nemurella pictetii
Lota lota,Hypophthalmichthys nobilis
Lota lota,Echinogammarus berilloni
Lota lota,Astacus astacus
Lota lota,Ecdyonurus venosus
Lota lota,Agabus bipustulatus
Lota lota,Baetis rhodani
Lota lota,Baetis vernus
Lota lota,Rhithrogena semicolorata
Lota lota,Drusus annulatus
Lota lota,Coregonus clupeaformis
Lota lota,Gammarus fossarum
Lota lota,Gammarus lacustris
Lota lota,Cloeon dipterum
Lota lota,Hydropsyche pellucidula
Lota lota,Heptagenia sulphurea
Lota lota,Coregonus sardinella
Lota lota,Barbus barbus
Lota lota,Thymallus thymallus
Lota lota,Australoheros facetus
Lota lota,Barbatula barbatula
Lota lota,Couesius plumbeus
Lota lota,Sander lucioperca
Lota lota,Notropis atherinoides
Lota lota,Oncorhynchus mykiss
Oncorhynchus nerka,Clupea pallasii
Neogobius melanostomus,Echinogammarus ischnus
Neogobius melanostomus,Bithynia tentaculata
Neogobius melanostomus,Echinogammarus berilloni
Neogobius melanostomus,Dikerogammarus villosus
Neogobius melanostomus,Gammarus pulex
Neogobius melanostomus,Asellus aquaticus
Neogobius melanostomus,Gammarus fossarum
Neogobius melanostomus,Dreissena polymorpha
Neogobius melanostomus,Potamopyrgus antipodarum
Neogobius melanostomus,Neogobius melanostomus
Neogobius melanostomus,Gammarus fasciatus
Neogobius melanostomus,Squalius cephalus
Neogobius melanostomus,Gammarus roeselii
Neogobius melanostomus,Lepomis gibbosus
Neogobius melanostomus,Barbus barbus
Neogobius melanostomus,Agabus brunneus
Neogobius melanostomus,Deronectes opatrinus
Neogobius melanostomus,Deronectes latus
Neogobius melanostomus,Deronectes moestus
Neogobius melanostomus,Hydroporus memnonius
Neogobius melanostomus,Hydroporus sabaudus
Neogobius melanostomus,Chironomus longistylus
Coregonus artedi,Coregonus artedi
Coregonus artedi,Daphnia galeata
Lates calcarifer,Macrobrachium rosenbergii
Lates calcarifer,Chanos chanos
Lates calcarifer,Melanotaenia splendida
Lates calcarifer,Cyprinus carpio
Lates calcarifer,Lates calcarifer
Cheimarrichthys fosteri,Zelandobius furcillatus
Coregonus clupeaformis,Daphnia galeata
Coregonus clupeaformis,Dreissena polymorpha
Coregonus clupeaformis,Neogobius melanostomus
Coregonus clupeaformis,Oncorhynchus nerka
Coregonus clupeaformis,Catostomus commersonii
Dallia pectoralis,Dallia pectoralis
Gobius paganellus,Crangon crangon
Gobius paganellus,Carcinus maenas
Gobius paganellus,Palaemon longirostris
Gobius paganellus,Palaemon elegans
Gobius paganellus,Pagurus bernhardus
Gobius paganellus,Gobius niger
Gobius paganellus,Gobius paganellus
Boreogadus saida,Boreogadus saida
Tinca tinca,Agabus brunneus
Tinca tinca,Deronectes opatrinus
Tinca tinca,Deronectes latus
Tinca tinca,Deronectes moestus
Tinca tinca,Hydroporus memnonius
Tinca tinca,Hydroporus sabaudus
Tinca tinca,Ecdyonurus insignis
Tinca tinca,Gammarus tigrinus
Tinca tinca,Serratella ignita
Tinca tinca,Ischnura pumilio
Tinca tinca,Planorbarius corneus
Tinca tinca,Ephemera danica
Tinca tinca,Coenagrion puella
Tinca tinca,Calopteryx virgo
Tinca tinca,Ischnura elegans
Tinca tinca,Caenis luctuosa
Tinca tinca,Agabus didymus
Tinca tinca,Agapetus fuscipes
Tinca tinca,Leuctra fusca
Tinca tinca,Planorbis carinatus
Tinca tinca,Dinocras cephalotes
Tinca tinca,Rhyacophila dorsalis
Tinca tinca,Deronectes aubei
Tinca tinca,Echinogammarus ischnus
Tinca tinca,Aphelocheirus aestivalis
Tinca tinca,Dikerogammarus villosus
Tinca tinca,Nemurella pictetii
Tinca tinca,Ancylus fluviatilis
Tinca tinca,Physa fontinalis
Tinca tinca,Leucaspius delineatus
Tinca tinca,Echinogammarus berilloni
Tinca tinca,Astacus astacus
Tinca tinca,Ecdyonurus venosus
Tinca tinca,Agabus bipustulatus
Tinca tinca,Baetis vernus
Tinca tinca,Baetis rhodani
Tinca tinca,Rhithrogena semicolorata
Tinca tinca,Drusus annulatus
Tinca tinca,Planorbis planorbis
Tinca tinca,Gammarus fossarum
Tinca tinca,Gammarus lacustris
Tinca tinca,Cloeon dipterum
Tinca tinca,Hydropsyche pellucidula
Tinca tinca,Gammarus roeselii
Tinca tinca,Heptagenia sulphurea
Tinca tinca,Gammarus pulex
Tinca tinca,Procambarus clarkii
Tinca tinca,Potamopyrgus antipodarum
Sander lucioperca,Leucaspius delineatus
Sander lucioperca,Alburnus alburnus
Sander lucioperca,Pomatoschistus minutus
Sander lucioperca,Carassius carassius
Sander lucioperca,Tinca tinca
Sander lucioperca,Gymnocephalus cernua
Sander lucioperca,Perca fluviatilis
Sander lucioperca,Platichthys flesus
Sander lucioperca,Gasterosteus aculeatus
Sander lucioperca,Rutilus rutilus
Sander lucioperca,Anguilla anguilla
Sander lucioperca,Sander lucioperca
Sander lucioperca,Pseudorasbora parva
Sander lucioperca,Squalius cephalus
Sander lucioperca,Carassius gibelio
Sander lucioperca,Salvelinus namaycush
Sander lucioperca,Ctenopharyngodon idella
Sander lucioperca,Carassius auratus
Sander lucioperca,Petromyzon marinus
Sander lucioperca,Astacus astacus
Sander lucioperca,Hypophthalmichthys nobilis
Sander lucioperca,Gobio gobio
Sander lucioperca,Barbus barbus
Sander lucioperca,Thymallus thymallus
Sander lucioperca,Barbatula barbatula
Sander lucioperca,Salmo salar
Sander lucioperca,Cyprinus carpio
Sander lucioperca,Lepomis gibbosus
Sander lucioperca,Neogobius melanostomus
Sander lucioperca,Lota lota
Sander lucioperca,Oncorhynchus mykiss
Sander lucioperca,Salvelinus fontinalis
Sander lucioperca,Micropterus salmoides
Sander lucioperca,Esox lucius
Sander lucioperca,Salmo trutta
Esox masquinongy,Sander vitreus
Esox masquinongy,Cyprinus carpio
Esox masquinongy,Cyprinella spiloptera
Esox masquinongy,Pimephales notatus
Esox masquinongy,Ameiurus nebulosus
Esox masquinongy,Lepomis macrochirus
Esox masquinongy,Dorosoma cepedianum
Esox masquinongy,Pimephales promelas
Esox masquinongy,Labidesthes sicculus
Esox masquinongy,Micropterus salmoides
Esox masquinongy,Coregonus artedi
Esox masquinongy,Lepomis gibbosus
Esox masquinongy,Catostomus commersonii
Terapon jarbua,Penaeus monodon
Terapon jarbua,Chanos chanos
Thymallus arcticus,Oncorhynchus keta
Platichthys flesus,Glossiphonia complanata
Platichthys flesus,Ancylus fluviatilis
Platichthys flesus,Carcinus maenas
Platichthys flesus,Pomatoschistus minutus
Platichthys flesus,Crangon crangon
Platichthys flesus,Rutilus rutilus
Platichthys flesus,Corophium volutator
Platichthys flesus,Gammarus pulex
Platichthys flesus,Platichthys flesus
Platichthys flesus,Aphelocheirus aestivalis
Platichthys flesus,Radix balthica
Platichthys flesus,Saduria entomon
Platichthys flesus,Pomatoschistus microps
Platichthys flesus,Hydropsyche pellucidula
Platichthys flesus,Littorina saxatilis
Platichthys flesus,Pleuronectes platessa
Platichthys flesus,Potamopyrgus antipodarum
Acipenser fulvescens,Lasmigona complanata
Acipenser fulvescens,Dreissena polymorpha
Acipenser fulvescens,Lampsilis siliquoidea
Acipenser fulvescens,Catostomus commersonii
Acipenser fulvescens,Erpobdella octoculata
Acipenser fulvescens,Pungitius pungitius
Thymallus thymallus,Aphelocheirus aestivalis
Thymallus thymallus,Oncorhynchus nerka
Thymallus thymallus,Limnius volckmari
Thymallus thymallus,Ancylus fluviatilis
Thymallus thymallus,Ecdyonurus insignis
Thymallus thymallus,Serratella ignita
Thymallus thymallus,Ephemera danica
Thymallus thymallus,Gasterosteus aculeatus
Thymallus thymallus,Caenis luctuosa
Thymallus thymallus,Elmis aenea
Thymallus thymallus,Agapetus fuscipes
Thymallus thymallus,Leuctra fusca
Thymallus thymallus,Dinocras cephalotes
Thymallus thymallus,Rhyacophila dorsalis
Thymallus thymallus,Bithynia tentaculata
Thymallus thymallus,Erpobdella octoculata
Thymallus thymallus,Nemurella pictetii
Thymallus thymallus,Glossiphonia complanata
Thymallus thymallus,Ecdyonurus venosus
Thymallus thymallus,Baetis vernus
Thymallus thymallus,Baetis rhodani
Thymallus thymallus,Rhithrogena semicolorata
Thymallus thymallus,Drusus annulatus
Thymallus thymallus,Asellus aquaticus
Thymallus thymallus,Cloeon dipterum
Thymallus thymallus,Hydropsyche pellucidula
Thymallus thymallus,Heptagenia sulphurea
Thymallus thymallus,Salmo salar
Thymallus thymallus,Anguilla anguilla
Thymallus thymallus,Gammarus pulex
Cyprinella lutrensis,Xyrauchen texanus
Oreochromis niloticus,Gambusia affinis
Oreochromis niloticus,Oreochromis niloticus
Oncorhynchus gorbuscha,Clupea pallasii
Salmo salar,Serratella ignita
Salmo salar,Elmis aenea
Salmo salar,Gasterosteus aculeatus
Salmo salar,Rhyacophila dorsalis
Salmo salar,Limnius volckmari
Salmo salar,Ancylus fluviatilis
Salmo salar,Crangon crangon
Salmo salar,Hydropsyche pellucidula
Salmo salar,Alosa pseudoharengus
Salmo salar,Pungitius pungitius
Salmo salar,Agabus brunneus
Salmo salar,Deronectes latus
Salmo salar,Deronectes moestus
Salmo salar,Deronectes opatrinus
Salmo salar,Hydroporus memnonius
Salmo salar,Hydroporus sabaudus
Salmo salar,Ecdyonurus insignis
Salmo salar,Gammarus tigrinus
Salmo salar,Ischnura pumilio
Salmo salar,Carassius carassius
Salmo salar,Ephemera danica
Salmo salar,Pseudorasbora parva
Salmo salar,Squalius cephalus
Salmo salar,Carassius gibelio
Salmo salar,Salvelinus namaycush
Salmo salar,Ctenopharyngodon idella
Salmo salar,Coenagrion puella
Salmo salar,Calopteryx virgo
Osmerus mordax,Alosa pseudoharengus
Osmerus mordax,Coregonus artedi
Osmerus mordax,Daphnia galeata
Labidesthes sicculus,Labidesthes sicculus
Lepomis macrochirus,Faxonius rusticus
Lepomis macrochirus,Carassius auratus
Lepomis macrochirus,Cyprinus carpio
Lepomis macrochirus,Corbicula fluminea
Lepomis macrochirus,Hyalella azteca
Lepomis macrochirus,Gammarus fasciatus
Lepomis macrochirus,Gammarus tigrinus
Oreochromis mossambicus,Oreochromis mossambicus
Danio rerio,Daphnia magna
Gambusia affinis,Culex pipiens
Gambusia affinis,Gambusia affinis
Gambusia affinis,Poeciliopsis occidentalis
Gambusia affinis,Daphnia magna
Squalius cephalus,Dikerogammarus villosus
Squalius cephalus,Gobio gobio
Squalius cephalus,Anguilla anguilla
Squalius cephalus,Rutilus rutilus
Squalius cephalus,Caenis luctuosa
Squalius cephalus,Elmis aenea
Squalius cephalus,Rhyacophila dorsalis
Squalius cephalus,Limnius volckmari
Squalius cephalus,Ancylus fluviatilis
Squalius cephalus,Serratella ignita
Squalius cephalus,Baetis vernus
Squalius cephalus,Baetis rhodani
Squalius cephalus,Rhithrogena semicolorata
Squalius cephalus,Asellus aquaticus
Aplodinotus grunniens,Corbicula fluminea
Aplodinotus grunniens,Dreissena polymorpha
Ameiurus natalis,Ameiurus natalis
Alosa pseudoharengus,Corophium volutator
Perca fluviatilis,Pomatoschistus minutus
Perca fluviatilis,Gammarus pulex
Perca fluviatilis,Rutilus rutilus
Perca fluviatilis,Lepomis gibbosus
Perca fluviatilis,Corophium volutator
Perca fluviatilis,Neogobius melanostomus
Perca fluviatilis,Gammarus roeselii
Perca fluviatilis,Procambarus clarkii
Perca fluviatilis,Alburnus alburnus
Perca fluviatilis,Salmo salar
Perca fluviatilis,Oncorhynchus mykiss
Sander vitreus,Osmerus mordax
Sander vitreus,Daphnia galeata
Sander vitreus,Notropis atherinoides
Sander vitreus,Oncorhynchus nerka
Sander vitreus,Aplodinotus grunniens
Sander vitreus,Oncorhynchus kisutch
Sander vitreus,Oncorhynchus mykiss
Sander vitreus,Etheostoma nigrum
Sander vitreus,Alosa pseudoharengus
Sander vitreus,Oncorhynchus tshawytscha
Sander vitreus,Morone chrysops
Sander vitreus,Carassius auratus
Sander vitreus,Dorosoma cepedianum
Sander vitreus,Perca fluviatilis
Sander vitreus,Sander vitreus
Sander vitreus,Neogobius melanostomus
Sander vitreus,Salvelinus namaycush
Sander vitreus,Coregonus artedi
Sander vitreus,Salvelinus fontinalis
Sander vitreus,Ameiurus nebulosus
Sander vitreus,Lota lota
Sander vitreus,Lepomis gibbosus
Sander vitreus,Pungitius pungitius
Sander vitreus,Catostomus commersonii
Sander vitreus,Micropterus salmoides
Anguilla dieffenbachii,Zelandobius furcillatus
Anguilla dieffenbachii,Potamopyrgus antipodarum
Gillichthys mirabilis,Fundulus parvipinnis
Lates niloticus,Labeo victorianus
Lates niloticus,Oreochromis niloticus
Lates niloticus,Lates niloticus
Gobiomorphus cotidianus,Zelandobius furcillatus
Gobiomorphus cotidianus,Potamopyrgus antipodarum
Leucaspius delineatus,Ecdyonurus insignis
Leucaspius delineatus,Serratella ignita
Leucaspius delineatus,Ephemera danica
Leucaspius delineatus,Caenis luctuosa
Leucaspius delineatus,Agapetus fuscipes
Leucaspius delineatus,Leuctra fusca
Leucaspius delineatus,Dinocras cephalotes
Leucaspius delineatus,Rhyacophila dorsalis
Leucaspius delineatus,Nemurella pictetii
Leucaspius delineatus,Baetis vernus
Leucaspius delineatus,Ecdyonurus venosus
Leucaspius delineatus,Baetis rhodani
Leucaspius delineatus,Heptagenia sulphurea
Leucaspius delineatus,Rhithrogena semicolorata
Leucaspius delineatus,Drusus annulatus
Leucaspius delineatus,Hydropsyche pellucidula
Leucaspius delineatus,Cloeon dipterum
Leucaspius delineatus,Leucaspius delineatus
Oncorhynchus mykiss,Oncorhynchus nerka
Oncorhynchus mykiss,Pteronarcys californica
Oncorhynchus mykiss,Dikerogammarus villosus
Oncorhynchus mykiss,Gammarus roeselii
Oncorhynchus mykiss,Gammarus pulex
Oncorhynchus mykiss,Gasterosteus aculeatus
Oncorhynchus mykiss,Gobiomorphus cotidianus
Oncorhynchus mykiss,Galaxias zebratus
Oncorhynchus mykiss,Chironomus thummi
Oncorhynchus mykiss,Oncorhynchus mykiss
Oncorhynchus mykiss,Retropinna retropinna
Oncorhynchus mykiss,Galaxias maculatus
Oncorhynchus mykiss,Salmo trutta
Oncorhynchus mykiss,Salvelinus fontinalis
Notemigonus crysoleucas,Daphnia galeata
